,tensor,cid
0,"[[0.0, 0.0, 0.0, -0.2769692540168762, -0.1661815643310547, -0.22157540917396545, -0.38775697350502014, -0.2769692540168762, -0.1661815643310547, -0.38775697350502014, -0.5539385080337524, -0.6093323826789856, 0.0, -0.22157540917396545, -0.3323631286621094, -0.2769692540168762]]",1204-bc60740bd945df22b941326f4ee149a4
1,"[[0.0, 0.0, 0.0, 0.0, -0.02662244439125061, -0.02662244439125061, -0.013311222195625305, 0.0, 0.0, 0.0, 0.0, -0.013311222195625305, -0.013311222195625305, 0.0, -0.013311222195625305, -0.02662244439125061]]",887-109f87b3124b4aa25e9a49c3712b50da
2,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.005412148777395487, 0.0, 0.0, -0.010824297554790974, 0.0, 0.0, -0.005412148777395487, 0.0, 0.0, -0.005412148777395487, -0.005412148777395487]]",1318-None
3,"[[0.0, 0.0, 0.0, 0.01895013637840748, 0.09475068002939224, 0.0, 0.0, 0.03790027275681496, 0.0, 0.0, 0.0, 0.0, 0.056850410997867584, 0.01895013637840748, 0.01895013637840748, 0.09475068002939224]]",1013-8337b9cef94666f2dd2dde02a8292544
4,"[[-0.19564767181873322, -0.7825906872749329, 0.0, -0.5869430303573608, -1.7608290910720825, -4.304248809814453, 0.0, -0.19564767181873322, -0.19564767181873322, -0.7825906872749329, 0.0, 0.0, 0.0, -0.19564767181873322, -1.5651813745498657, -0.19564767181873322]]",1276-c98f23c5f01e87429e00db4566cca238
5,"[[-0.4720248579978943, -0.4720248579978943, -0.3432908058166504, -0.0429113507270813, -0.0858227014541626, -0.0858227014541626, -0.0429113507270813, -0.0858227014541626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1153-b769b7c4664af95672dabb38a2d2589e
6,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1688-None
7,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03644704073667526, -0.07289408147335052, 0.0, -0.10934112221002579, 0.0, 0.0, 0.0, 0.0, -0.03644704073667526, -0.03644704073667526]]",1012-a31863de508e32f7083b20e47159a977
8,"[[0.41660335659980774, 0.41660335659980774, 0.3204641044139862, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03204641118645668, 0.1602320522069931, 0.19227847456932068, 0.22432488203048706, 0.12818564474582672]]",1169-0e117c1684b5ebd6093fc17b468455d1
9,"[[0.0, -0.10076585412025452, -0.1679430902004242, -0.5710065364837646, -0.3358861804008484, 0.0, -0.03358861804008484, 0.0, 0.0, 0.0, 0.0, -0.03358861804008484, -0.03358861804008484, 0.0, 0.0, -0.03358861804008484]]",1263-0af607c2fa9f1ba55a2f31b9f4799d25
10,"[[0.0, 0.0, 0.0, 0.0, -0.014994418248534203, 0.0, 0.0, 0.0, 0.0, 0.0, -0.014994418248534203, 0.0, 0.0, 0.0, 0.0, -0.014994418248534203]]",1063-84ba85e3ba7c637db874128c830a0e53
11,"[[-0.0013205137802287936, 0.0, -0.0026410275604575872, 0.0, 0.0, 0.0, -0.0013205137802287936, -0.0026410275604575872, 0.0, -0.0026410275604575872, -0.003961541224271059, -0.0013205137802287936, -0.0026410275604575872, -0.0026410275604575872, 0.0, -0.0013205137802287936]]",652-dd5bfb1593b5f51e80129bcba8f4a805
12,"[[0.0, 0.0, 0.0, -0.007376089692115784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007376089692115784]]",863-None
13,"[[0.0, 1.9808275699615479, 0.0, 0.14148768782615662, 1.5563645362854004, 4.810581207275391, 2.263803005218506, 1.6978522539138794, 2.829753875732422, 0.0, 0.14148768782615662, 6.225458145141602, 4.244630813598633, 5.659507751464844, 0.0, 7.6403350830078125]]",1243-ae9eedb427f5b2235befd37366fc09d7
14,"[[-0.10574379563331604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.2689255475997925, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10574379563331604]]",684-8337b9cef94666f2dd2dde02a8292544
15,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",191-ff0ad3b6b2c6b4ead7e211741c3e6079
16,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.01929762214422226, 0.0, -0.00964881107211113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01929762214422226]]",944-945aba0d61c82ce0703573f9a8cb7028
17,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1635-a8ec907a5ac10f3960aabf52e1f65f1c
18,"[[-0.9540089964866638, -22.896215438842773, -4.134038925170898, -20.988197326660156, -6.042057037353516, -10.176095962524414, -6.678062915802002, 0.0, -9.222086906433105, -1.9080179929733276, -1.590014934539795, -3.498033046722412, -3.498033046722412, 0.0, 0.0, -8.586080551147461]]",1654-8337b9cef94666f2dd2dde02a8292544
19,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019758062437176704, 0.0, 0.0, 0.0, -0.0019758061971515417, 0.0, -0.003951612394303083, 0.0, 0.0, -0.0019758061971515417]]",898-8337b9cef94666f2dd2dde02a8292544
20,"[[-0.06017708405852318, -0.12035416811704636, -0.10530989617109299, -0.04513281211256981, -0.015044271014630795, -0.03008854202926159, -0.015044271014630795, -0.015044271014630795, -0.015044271014630795, 0.0, 0.0, 0.0, -0.015044271014630795, -0.015044271014630795, -0.03008854202926159, -0.06017708405852318]]",959-cd130f9088f23d67bce0e13c9eb329b0
21,"[[-0.024089671671390533, -0.09635868668556213, -0.1445380300283432, 0.0, -0.024089671671390533, 0.0, 0.0, 0.0, 0.0, -0.024089671671390533, 0.0, 0.0, 0.0, 0.0, -0.024089671671390533, -0.024089671671390533]]",943-69d0b4abd8f6898511de6ae46046eb37
22,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0035337696317583323, 0.0, 0.0, 0.0, -0.0035337696317583323, 0.0, -0.0035337696317583323, -0.0035337696317583323, 0.0, -0.0035337696317583323]]",1693-6c0300c09cfa4e3e433ac2351fdd1116
23,"[[0.0, 0.0695975199341774, 0.0, 0.0, 0.0695975199341774, 0.0695975199341774, 0.0, 0.1391950398683548, 0.2783900797367096, 0.0695975199341774, 0.2087925672531128, 0.2783900797367096, 0.0695975199341774, 1.3919503688812256, 0.765572726726532, 0.0695975199341774]]",1222-10d57cc9146a528e7b023b5aa6a5396d
24,"[[-0.029859963804483414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1008-None
25,"[[-0.016869183629751205, 0.0, 0.0, 0.0, 0.0, -0.03373836725950241, 0.0, -0.03373836725950241, -0.016869183629751205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1285-54e2a2b468f81f5d827d34d488f30ab0
26,"[[-0.009036052040755749, 0.0, 0.0, 0.0, 0.0, -0.004518026020377874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.004518026020377874]]",1736-a8ec907a5ac10f3960aabf52e1f65f1c
27,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1592-a8ec907a5ac10f3960aabf52e1f65f1c
28,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1231-3426d7dd6b951a03fef2668967d20ccd
29,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",247-None
30,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1376-a8ec907a5ac10f3960aabf52e1f65f1c
31,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.005924496334046125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.005924496334046125]]",1480-0e117c1684b5ebd6093fc17b468455d1
32,"[[0.24642826616764069, 0.026403028517961502, 0.026403028517961502, 0.0, 0.017602019011974335, 0.052806057035923004, 0.017602019011974335, 0.017602019011974335, 0.03520403802394867, 0.04400504752993584, 0.026403028517961502, 0.052806057035923004, 0.07040807604789734, 0.06160706654191017, 0.03520403802394867, 0.017602019011974335]]",1285-a31863de508e32f7083b20e47159a977
33,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1315-a8ec907a5ac10f3960aabf52e1f65f1c
34,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1343-945aba0d61c82ce0703573f9a8cb7028
35,"[[-0.07125197350978851, -0.14250394701957703, -0.07125197350978851, 0.0, 0.0, -0.03562598675489426, 0.0, -0.17812994122505188, -0.2493818998336792, -0.2493818998336792, -0.4987637996673584, 0.0, -0.14250394701957703, 0.0, 0.0, -0.03562598675489426]]",1204-d8c97ab945dee7d9db1c1921149abdc6
36,"[[-1.1628696918487549, -0.8050636053085327, -1.2523212432861328, -1.4312242269515991, -1.2523212432861328, -0.6261606216430664, 0.0, 0.0, 0.0, -0.08945151418447495, -0.6261606216430664, -1.3417726755142212, -0.9839666485786438, -0.5367090702056885, -1.2523212432861328, -0.9839666485786438]]",828-183abbbe8fae350cc608984e93217b67
37,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01146967988461256, 0.0, -0.01146967988461256]]",1790-a8ec907a5ac10f3960aabf52e1f65f1c
38,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1419-a31863de508e32f7083b20e47159a977
39,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1791-a8ec907a5ac10f3960aabf52e1f65f1c
40,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1263-0e117c1684b5ebd6093fc17b468455d1
41,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1241-None
42,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1455-109f87b3124b4aa25e9a49c3712b50da
43,"[[-10.404653549194336, -12.805727005004883, -25.611454010009766, -396.17718505859375, -113.65082550048828, 0.0, -0.8003579378128052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8003579378128052]]",None-e956b418509df39eb3f2374e0de9e104
44,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1524-6e3448396e2ee63902a0af2aef147abd
45,"[[0.0, -0.008481129072606564, 0.0, 0.0, 0.0, -0.016962258145213127, -0.016962258145213127, 0.0, -0.05088677257299423, -0.05936790257692337, -0.04240564629435539, -0.025443386286497116, -0.025443386286497116, -0.008481129072606564, 0.0, -0.008481129072606564]]",1994-c1e0462dce94ea50450c87258ca8be83
46,"[[0.0, 0.0, -0.023205729201436043, 0.0, 0.0, -0.023205729201436043, -0.023205729201436043, -0.046411458402872086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023205729201436043, -0.023205729201436043]]",1204-cd130f9088f23d67bce0e13c9eb329b0
