天数,销量
2020-05-23,2
2020-05-24,0
2020-05-25,0
2020-05-26,1
2020-05-27,0
2020-05-28,0
2020-05-29,1
2020-05-30,0
2020-05-31,1
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,1
2020-06-13,0
2020-06-14,0
2020-06-15,2
2020-06-16,1
2020-06-17,0
2020-06-18,1
2020-06-19,2
2020-06-20,0
2020-06-21,1
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,1
2020-06-27,1
2020-06-28,0
2020-06-29,0
2020-06-30,1
2020-07-01,1
2020-07-02,1
2020-07-03,2
2020-07-04,0
2020-07-05,2
2020-07-06,2
2020-07-07,0
2020-07-08,5
2020-07-09,1
2020-07-10,1
2020-07-11,1
2020-07-12,1
2020-07-13,3
2020-07-14,2
2020-07-15,1
2020-07-16,1
2020-07-17,0
2020-07-18,2
2020-07-19,0
2020-07-20,5
2020-07-21,44
2020-07-22,1
2020-07-23,4
2020-07-24,3
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,1
2020-08-04,9
2020-08-05,2
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,2
2020-08-31,4
2020-09-01,2
2020-09-02,2
2020-09-03,1
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,3
2020-09-10,3
2020-09-11,1
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,3
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,1
